,"So finally the Bose qc ultra earbuds!!

Firstly, thanks to Amazon prime day sale got the ultra for the price of previous gen qc2. Great value for money.

The pros:
1. Very comfortable fit
2. Well rounded, great sound (ofcourse)
3. Top notch ANC
4. Easy and hassle free connectivity to ios devices

The cons:
1. No multi point connectivity - can connect to only one device at a time
2. No wireless charging (which wasnt a deal breaker for me)

Overall, really happy with the purchase. I was using airpods first gen for almost 2 years and then upgraded to airpods pro first gen. Was very happy with airpods but being a Bose fan and somebody who keeps a check on latest what Bose has to offer i thought of giving it a try. And oh boy! No regrets at all.",
,Mic was faulty and call quality was below standard. No support from Amazon for replacement. Product sent to service centre and no response from them for long period. Even after constant follow up the level of response is embarrassing. Buy products from Amazon only if replacement warranty is there.,
,One of the earbuds not working. Amazon refused to replace or refund. They blame me that someone came to our house and we tried to return a different product which is insane. It is better to buy electronics product from authorised shop rather than buying it from Amazon. Now I have to run for the replacement from Bose service center.,
,"I purchased the Bose Earbuds on May 6, 2023, expecting premium quality and reliability from such a reputed brand. Unfortunately, my experience has been far from satisfactory. Here’s a breakdown of my journey with the product:

- First Issue (6 Months): The earbuds stopped working entirely within six months of purchase. Thankfully, Bose replaced the product under warranty. While I appreciated the replacement, it raised questions about the durability of the product.

- Second Issue (After Replacement): Six months after receiving the replacement, the earbuds started showing charging issues. Despite careful usage, the charging case would not charge the earbuds properly, rendering them almost unusable.

- Customer Support Response: Today, I contacted Bose customer support hoping for a resolution. Unfortunately, the response was disheartening. I was informed that the product is non-serviceable, and the only option was to purchase a new Bose product with a 10% discount. This means I invested in a premium product and could only use it effectively for 1.5 years before it became useless.

While the sound quality of Bose products is commendable, the poor durability and unsatisfactory post-purchase support are unacceptable, especially for a premium-priced item. I now feel that my investment in Bose was a waste, leaving me with no working earbuds and no clear way forward. I expected better from a brand of this caliber.

Recommendation: Think twice before purchasing if you're looking for longevity and reliable customer support.",
,"I have owned at least 5 to 6 products from bose over last 20 years and I used to adore the brand.
But recently when by bose quietcomfort earbuds started malfunctioning and I visited their service center in bangalore India I was shocked.
It seems all their earbuds are un serviceable and if it malfunctions, and someone like me is unlucky to have the issue just after the warranty period, service center is asking to upgrade to the new pair of earbuds at 10%, something which is directly available on Amazon.
Also I happened to meet at least 3 customers with the exact same issue, and everyone appeared ro helpless after paying a premium price for their product and getting the worst possible service and treatment from the outsourced service center.
Additionally bose policies for replacement or repair are extremely discriminating from region to region.
In short it was a extremely disappointing experience and is not advisable to invest in bose products in India, considering their current support structure and quality of products.",
," am a die hard fan of Bose for years. The quality of this product is really bad. When connected to phone or laptop the audio of calls is so low that u can barely hear the other person. On top of that the noise cancelling in calls barely exists. My nose sound sport is 200% higher in volume at 50% volume levels. What a waste of money.

Update: wore the headphones on 8 hour car journey. The volume was full and I still could hear my fellow passenger talking through out the car journey even at immersive option.

Second reason for dislike is that while people are raving about the comfort, I still get pain even after wearing it for 30 mins. This is after trying all combinations of tips. I prefer air pod pro any day.

Complete waste of money. Will try and sell these",
,"Got the QC Ulta II for Christmas '23, and the battery drains extremely fast! Might be the worst battery life I've come across on any earbuds. All features are moot when the device is unusable.

Unfortunately for me the charging station was also faulty. It hadn't even been 1-day of opening the box that everything just fell apart. Anyways, turns out this is a MASSIVE Problem worldwide with the Bose QC Ultra's - One of the earbuds just gives up within a year + insane battery issues.

Just wanted to warn everyone on getting the QC Ultra's - Do your research first!

This is an expensive pair of earbuds to get a faulty piece on, and the replacement / refund policies on electronics (even Bose) are dismal in India.",
,"Bose QC ultra earbuds have an inherent fault where the Left earbud (in MANY cases) is the primary problem. There is a slight buzzing sound (like when a mosquito passes near one' ear) audible when the noise cancellation is On and no song is being played. This fault is apparently observed by many users globally, many reviews and complaint on reddit and YouTube by various users.
Returning my purchase, and request all to be aware of this issue. The sound can be very irritating for those who are buying it for its ANC capabilities, although I have to admit the ANC is very good on this device.
Had it not been for this constant buzzing sound, I would have kept these earbuds.
Also, returning is a bit of struggle as Amazon demands a denial of replacement letter from Bose Service center... So yeah please be cautious.",
,"If the warranty is finished, there is no service available for earbuds. You have to throw it in waste bin. I purchased the earbuds 2 years back and now the right ear bud is not working. Sent it to Bose authorised service centre and they are saying it is not repairable. I literally lost 26k. Very disappointed ",
,"Coming from Pixel buds pro and SonY HM4 , this is worst product and totally surprising suppose to be the best in noise cancellation , the call quality and noise when on phone calls and outdoors is worst I need to switch to phone everytime a call comes in.

Have sent in for repairs they just sent it back updating the firmware they didn't bother asking what's the issue.

Bose has long way to go from service in India.",
,"I am disappointed with the Bose Quiet Comfort Ultra earbuds. For a top tier product, I expect them to perform better than they do, and after only 2 days there is a surprisingly long list of obvious issues.

After only two days, the issues are annoying that I have already stopped using them. So yes, I will be returning them to Amazon for a refund.

First, I do have experience with top tier noise cancelling headphones and earbuds.
These were to replace my Sony WF-1000XM4 which I really liked for the 3 years until they died. So I do know what to expect from top tier wireless noise cancelling earbuds. The older Sony earbuds do not have any of the issues I see in the newer Bose QuietComfort Ultra earbuds.
I also own a set of Bose QuietComfort 35 II over ear headphones for about 5 years. These are great headphones with none of the issues that I have found with the newer, but not better, Bose QuietComfort Ultra earbuds.
I am not promoting these products, but they are a point of reference when discussing the many issues I have experienced.

So here are the issues / annoyances / quirks that I have seen in ONLY 2 days of use:

The controls are very laggy in both the app and tapping the earbuds - such as single tap to pause music playback. It seems you have to wait quite a long time for the command to happen. With lag such a long lag I often repeat the command only to discover that it now does the command twice. Very annoying, and not something I have ever experienced with other wireless earbuds. With other earbuds, you tap to pause - you immediately hear the confirmation sound without this pronounced delay, so in my experience this is an issue limited to this product. This is NOT top tier product performance.

When I take them out of the charging case, it is not uncommon for one of them to not connect. So I have to figure out that one is not working, and put it back in the charging case and remove it again to get it to connect. It has happened several times in the two days since I got them, and it is very annoying. Again, not something I have ever experienced with other wireless earbuds, and certainly should not be happening with a top tier product.

I can be listening to music then all of the sudden the music stops. My phone app shows the music still playing, and thinks it is still connected to the earbuds, but none of the controls in the Bose app or by tapping work, so it appears that the earbuds had frozen. Only solution is to put them back in the charging case, , and then take them out to reconnect to the phone. FYI - I have a Samsung S23 Ultra which is fully updated and this does not happen with my other wireless headphones and earbuds. Again, this is certainly not top tier performance.

They have 3 modes (immersive, quiet, and aware). Quiet and Aware both have the same frequency response which is very bassy, and you need to adjust bass down because the excessive bass is annoying and fatiguing. Not really a problem right? Wrong because the Immersive mode has a completely different frequency response (much less bass and much brighter), so Immersive needs a small bass boost. The app does not allow for a different EQ setting for each mode, so switching from Immersive to either Quiet or Aware means a BIG change in sound - one that you like and one that you dislike -so each time you change modes you need to go into the settings and adjust the EQ every time. On my other headphones and earbuds, I never noticed a change in the frequency response when changing modes. Again, not what I call top tier performance - quite frankly the Quiet and Aware frequency responses should be the same as the Immersive which is the better of the two.

Wind noise is not a problem with small breeze and seems to be compensated for, but when wind gets over about 15 mph / 22 kph the wind noise is quite apparent. This is true in both Quiet and Immersive modes. And in Aware mode the wind noise is extremely excessive but this is to be expected. This wind noise is clearly coming from the noise cancelling because it is clearly air rushing past a microphone which is very different from wind noise on earbuds with no noise cancelling. The Bose QuietComfort Ultra earbuds have no ""off"" mode, no manual wind compensation - no controls on the completely automatic and always on noise cancelling. So in windy conditions it is impossible to eliminate this earbud generated wind noise. Therefore, these are not usable for bike rides or on moderately windy days. My old Sony SF-1000XM4 have a wind noise suppression option which works reasonably well, and the Sony also has an off mode so it can work without noise cancellation which is the source of the wind noise. My old Bose QuietComfort 35 II headphones have a low noise cancelling setting which eliminates wind noise (not available on these earbuds), and the headphones also have a noise cancelling off mode. So these QuietComfort Ultra earbuds again falls short in comparison to other top tier products.

Just a note on wind noise - My Bose QuietComfort 35-II over ear headphones are perfect in windy conditions with the low noise cancelling mode - in fact, they are the best noise cancelling headphones I have ever used outside in wind. So why that option is not available on these newer models is a mystery to me.

Another note on wind noise - I ride my bike every day with earbuds which is an extreme test on wind noise suppression for noise cancelling headphone and earbuds. My Sony WF-1000XM4 were fine. My old Bose QuietComfort 35-II headphones were fine with noise cancelling on low (but can't were a helmet). The new Bose QuietComfort Ultra earbuds are not useable on a bike because the wind noise is very loud and drowns out the music. They are also not useable on days with winds higher than 20 kph which is normal here in Western Canada.

On the plus side ... the earbuds are comfortable, secure, and sound good when the bass is fixed in the EQ. Battery life is pretty much exactly 4 hours in immersive at about 50% volume, which matches the specs.

On the plus side ... I really like the Immersive mode. It is impressive and very nice. I just wish I could have it without so many other issues.

For my case, I use earbuds almost entirely outside, and rarely use them inside. So I would not use the QuietComfort Ultra earbuds on many days because of the wind noise issue. Can you imagine ... check the weather for wind speed to decide if I can use my earbuds today?

Therefore, I feel that the Bose needs to fix these issues with the QuietComfort Ultra Earbuds before I can seriously call them a top tier product. As they stand now, in this price point, there are many other better options.

I will be returning these to Amazon for a refund.",
