type,author,rating,title,content,date,verified,Tweets,,,,,,
local,sharma,5,,"It delivers exceptional audio quality with deep bass and crystal-clear highs. The noise cancellation is top-notch, making every song feel like a live concert. Comfortable fit and solid battery life, but the price is on the higher side. The touch controls are responsive, and the connectivity is seamless, with no lag or dropouts. The sleek design adds a premium feel, and the charging case is compact yet sturdy. If you want top-tier sound, great ANC, and don’t mind paying a little extra, these are worth it!",,Verified Purchase,,,,,,,
local,Kamth,4,,"Amazon ran a promo to prebook the earphones at 5999 for which I had to pay 999 to be eligible.	
On paying 999, I was refunded this amount when the sale went live.	
The sale price was 7999 with 1000 off thanks to a credit card offer.	
Ended up paying 6999 and not the promoted, misinformed 5999.	
	",,Verified Purchase,,,,,,,
local,nitin,4,,Amazon ran a promo to prebook the earphones at 5999 for which I had to pay 999 to be eligible.,,Verified Purchase,,,,,,,
local,Vinay Gupta,2,,"On paying 999, I was refunded this amount when the sale went live.",,Verified Purchase,,,,,,,
local,rohan,5,,The sale price was 7999 with 1000 off thanks to a credit card offer.,,Verified Purchase,,,,,,,
local,divya,5,,"Ended up paying 6999 and not the promoted, misinformed 5999.",,Verified Purchase,,,,,,,
local,shyam,5,,"Product looks great and powered by Bose sequence of each instrument is also good with bass. But ANC is not that apt felt over hyped by the price I have Sumsung buds which felt more comfortable in ears and it’s ANC is also great. It isn’t returnable again got disappointed over here.	
satisfied with the sound quality and battery life is also good only problem is mic quality...calling experience is very bad.	
Doesn't fit the ear well. No where near fit of other companies. Sound quality is ok.	",,Verified Purchase,,,,,,,
local,nonu,5,,On raising this with the brand's team they said the offer was only valid on a direct purchase from the brands website. Then why did Amazon run the same offer and misinform / mislead customers?,,Verified Purchase,,,,,,,
local,Prakhar,5, Luxury Sound for True Audiophiles,"It delivers exceptional audio quality with deep bass and crystal-clear highs. The noise cancellation is top-notch, making every song feel like a live concert. Comfortable fit and solid battery life, but the price is on the higher side. The touch controls are responsive, and the connectivity is seamless, with no lag or dropouts. The sleek design adds a premium feel, and the charging case is compact yet sturdy. If you want top-tier sound, great ANC, and don’t mind paying a little extra, these are worth it!",,Verified Purchase,,,,,,,
local,Rohit,5,"Amazing sound quality with perfect base, high and mids. Earbuds quality is amazing with sturdy and finished product. Connects very smoothly with android and iOS.",,,Verified Purchase,,,,,,,
local,nikita,5,Highly quality and highly recommended!,"Super fast charging and very long battery life of the buds and along with the case, it is extremely well.",,Verified Purchase,,,,,,,
local,binit,5,,Very well built and design to fit your hands perfectly. Definitely value for money and highly recommended.,,Verified Purchase,,,,,,,
local,lalu,5,,"Very handy in built and smooth to fit in palm like a charm. The sound is great, donot confuse with loud. Its precise. The app support is very pro. ANC works great and easy to change over to. Tap can be customized as per need and preferences.",,Verified Purchase,,,,,,,
local,,5,,Find my buds is another superb feature to find missing buds.,,Verified Purchase,,,,,,,
local,Aashish Mahajan,5,Next level sound experience,Mic quality is beyond comparison. Worth the hype.,,Verified Purchase,,,,,,,
local,,4,,Overpriced and all just a hype,,Verified Purchase,,,,,,,
local,Dr. Anamika,5,It’s all about the bose hype,Sound quality is not that that great. Decent bass with low treble. Bass is not having thump,,Verified Purchase,,,,,,,
local,,5,,Build quality does not justify the value.,,Verified Purchase,,,,,,,
local,vurun,5,App is very buggy. Does not give premium experience,"I recently tried these earbuds, and while they have some strong points, they also come with a major drawback.	
	
Pros:	
• The sound quality is good, delivering clear audio with decent bass and crisp highs. Whether for music or calls, the performance was satisfactory.	
• The design looks premium, with a sleek and stylish finish that gives them a high-end feel.	
	
Cons:	
• The build quality is very poor. The materials feel flimsy, and they don’t seem durable enough for long-term use. After a short period, I noticed signs of wear and potential durability issues.	
	
Overall, if you prioritize sound and aesthetics, these might work for you. However, if durability is a concern, you might want to consider other options. Rating: 3/5.	
Noise has nailed it with these earbuds. The sound quality its best in class. Crisp and bassy sound with excellent anc.	
Build quality have been better because my earbuds case has loose lid. dont know its only for my product. But overall build quality could be better in lid fit	
3 people found this helpful	
	
Product looks great and powered by Bose sequence of each instrument is also good with bass. But ANC is not that apt felt over hyped by the price I have Sumsung buds which felt more comfortable in ears and it’s ANC is also great. It isn’t returnable again got disappointed over here.	
satisfied with the sound quality and battery life is also good only problem is mic quality...calling experience is very bad.	
Doesn't fit the ear well. No where near fit of other companies. Sound quality is ok.	",,Verified Purchase,,,,,,,
local,nhit,4,,"		
	Thoroughly disappointed in the oveall expereience and how the brand has dealt with the situation.	
		
	And the earphones' sound and build quality are probably at par with other brands' earphones under Rs. 2500 at best.	
	Too much Hype about the product but, let's talk about the specs	
	1) Sound - not that great as per the hype of Bose being the tuner	
	2) Connectivity issue - compared to other cheaper products connectivity is a issue	
	3) Touch sensitivity issue on buds	
	4) Battery life not great as promised	
	5) Noise cancellation is great but not the best	
	6) Charging speed is good	
	7) In ear feel is great, not so heavy and not painful	
		",,Verified Purchase,,,,,,,
,,,,"I recently tried these earbuds, and while they have some strong points, they also come with a major drawback.	
	
Pros:	
• The sound quality is good, delivering clear audio with decent bass and crisp highs. Whether for music or calls, the performance was satisfactory.	
• The design looks premium, with a sleek and stylish finish that gives them a high-end feel.	
	
Cons:	
• The build quality is very poor. The materials feel flimsy, and they don’t seem durable enough for long-term use. After a short period, I noticed signs of wear and potential durability issues.	
	
Overall, if you prioritize sound and aesthetics, these might work for you. However, if durability is a concern, you might want to consider other options. Rating: 3/5.	
Noise has nailed it with these earbuds. The sound quality its best in class. Crisp and bassy sound with excellent anc.	
Build quality have been better because my earbuds case has loose lid. dont know its only for my product. But overall build quality could be better in lid fit	
3 people found this helpful	
	
Product looks great and powered by Bose sequence of each instrument is also good with bass. But ANC is not that apt felt over hyped by the price I have Sumsung buds which felt more comfortable in ears and it’s ANC is also great. It isn’t returnable again got disappointed over here.	
satisfied with the sound quality and battery life is also good only problem is mic quality...calling experience is very bad.	
Doesn't fit the ear well. No where near fit of other companies. Sound quality is ok.	",,Verified Purchase,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
